STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,COMMENT_TS,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ABW,Aruba,UIS_EDSTATS_XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_GDP,Percentage of GDP,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1998,4.763160228729248,_Z,Not Applicable,2,Two,UIS_EDSTATS,Education Statistics,,0,Units,UIS_EDSTATS,Education Statistics,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ABW,Aruba,UIS_EDSTATS_XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_GDP,Percentage of GDP,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1999,4.395269870758057,_Z,Not Applicable,2,Two,UIS_EDSTATS,Education Statistics,,0,Units,UIS_EDSTATS,Education Statistics,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ABW,Aruba,UIS_EDSTATS_XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_GDP,Percentage of GDP,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,4.714680194854736,_Z,Not Applicable,2,Two,UIS_EDSTATS,Education Statistics,,0,Units,UIS_EDSTATS,Education Statistics,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ABW,Aruba,UIS_EDSTATS_XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_GDP,Percentage of GDP,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2001,4.798980236053467,_Z,Not Applicable,2,Two,UIS_EDSTATS,Education Statistics,,0,Units,UIS_EDSTATS,Education Statistics,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ABW,Aruba,UIS_EDSTATS_XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_GDP,Percentage of GDP,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2002,4.872200012207031,_Z,Not Applicable,2,Two,UIS_EDSTATS,Education Statistics,,0,Units,UIS_EDSTATS,Education Statistics,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ABW,Aruba,UIS_EDSTATS_XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_GDP,Percentage of GDP,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2004,4.356989860534668,_Z,Not Applicable,2,Two,UIS_EDSTATS,Education Statistics,,0,Units,UIS_EDSTATS,Education Statistics,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ABW,Aruba,UIS_EDSTATS_XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_GDP,Percentage of GDP,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2005,4.623219966888428,_Z,Not Applicable,2,Two,UIS_EDSTATS,Education Statistics,,0,Units,UIS_EDSTATS,Education Statistics,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ABW,Aruba,UIS_EDSTATS_XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_GDP,Percentage of GDP,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2007,4.702549934387207,_Z,Not Applicable,2,Two,UIS_EDSTATS,Education Statistics,,0,Units,UIS_EDSTATS,Education Statistics,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ABW,Aruba,UIS_EDSTATS_XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_GDP,Percentage of GDP,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2008,4.827300071716309,_Z,Not Applicable,2,Two,UIS_EDSTATS,Education Statistics,,0,Units,UIS_EDSTATS,Education Statistics,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ABW,Aruba,UIS_EDSTATS_XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_GDP,Percentage of GDP,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2009,5.797399997711182,_Z,Not Applicable,2,Two,UIS_EDSTATS,Education Statistics,,0,Units,UIS_EDSTATS,Education Statistics,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
